#Engineering-Data-Exchange - B.I.G.-EU
PROJECT_NAME
VERSION_OF_REFERENCEFILE
TIMESTAMP_OF_LAST_CHANGE;25.03.2025
AUTHOR_OF_LAST_CHANGE;YABE Yet Another Bacnet Explorer
VERSION_OF_LAYOUT;2.3
#mandatory;mandator;mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional;optional;optional;optional;optional
# keyname;device obj.-instance;object-name;object-type;object-instance;description;present-value-default;min-present-value;max-present-value;settable;supports COV;hi-limit;low-limit;state-text-reference;unit-code;vendor-specific-addres
OBJECT_ANALOG_INPUT:27;2128101;115437_3200_001_00_OEA03_MV7;0;27;|A| Energimåler produsert -IP401 Temperaturdifferanse |C| =320.001-OE403;;;;;;;;;62
OBJECT_ANALOG_INPUT:28;2128101;115437_3200_001_00_OEA03_MV4;0;28;|A| Energimåler produsert -IP401 Gjennomstrømning |C| =320.001-OE403;;;;;;;;;135
OBJECT_ANALOG_INPUT:29;2128101;115437_3410_001_04_OEA01_MV;0;29;|A| Energimåler forbrukt gass til gasskjeler Totalt volum |C| =341.001-OE401;;;;;;;;;135
OBJECT_ANALOG_INPUT:30;2128101;115437_3200_001_04_OEA04_MV1;0;30;|A| Energimåler produsert -IP402 Total energi |C| =320.001-OE404;;;;;;;;;19
OBJECT_ANALOG_INPUT:31;2128101;115437_3200_001_00_OEA04_MV2;0;31;|A| Energimåler produsert -IP402 Avgitt effekt |C| =320.001-OE404;;;;;;;;;48
OBJECT_ANALOG_INPUT:32;2128101;115437_3200_001_00_OEA04_MV3;0;32;|A| Energimåler produsert -IP402 Totalt volum |C| =320.001-OE404;;;;;;;;;80
OBJECT_ANALOG_INPUT:33;2128101;115437_3200_001_00_OEA04_MV5;0;33;|A| Energimåler produsert -IP402 Tur temperatur |C| =320.001-OE404;;;;;;;;;62
OBJECT_ANALOG_INPUT:34;2128101;115437_3200_001_00_OEA04_MV6;0;34;|A| Energimåler produsert -IP402 Retur temperatur |C| =320.001-OE404;;;;;;;;;62
OBJECT_ANALOG_INPUT:35;2128101;115437_3200_001_00_OEA04_MV7;0;35;|A| Energimåler produsert -IP402 Temperaturdifferanse |C| =320.001-OE404;;;;;;;;;62
OBJECT_ANALOG_INPUT:36;2128101;115437_3200_001_00_OEA04_MV4;0;36;|A| Energimåler produsert -IP402 Gjennomstrømning |C| =320.001-OE404;;;;;;;;;135
OBJECT_ANALOG_INPUT:37;2128101;115437_3200_001_04_OEA05_MV1;0;37;|A| Energimåler produsert -IP403 Total energi |C| =320.001-OE405;;;;;;;;;19
OBJECT_ANALOG_INPUT:38;2128101;115437_3200_001_00_OEA05_MV2;0;38;|A| Energimåler produsert -IP403 Avgitt effekt |C| =320.001-OE405;;;;;;;;;48
OBJECT_ANALOG_INPUT:39;2128101;115437_3200_001_00_OEA05_MV3;0;39;|A| Energimåler produsert -IP403 Totalt volum |C| =320.001-OE405;;;;;;;;;80
OBJECT_ANALOG_INPUT:40;2128101;115437_3200_001_00_OEA05_MV5;0;40;|A| Energimåler produsert -IP403 Tur temperatur |C| =320.001-OE405;;;;;;;;;62
OBJECT_ANALOG_INPUT:41;2128101;115437_3200_001_00_OEA05_MV6;0;41;|A| Energimåler produsert -IP403 Retur temperatur |C| =320.001-OE405;;;;;;;;;62
OBJECT_ANALOG_INPUT:42;2128101;115437_3200_001_00_OEA05_MV7;0;42;|A| Energimåler produsert -IP403 Temperaturdifferanse |C| =320.001-OE405;;;;;;;;;62
OBJECT_ANALOG_INPUT:43;2128101;115437_3200_001_00_OEA05_MV4;0;43;|A| Energimåler produsert -IP403 Gjennomstrømning |C| =320.001-OE405;;;;;;;;;135
OBJECT_ANALOG_INPUT:44;2128101;115437_3200_001_05_OEB02_MV1;0;44;|A| Energimåler produsert -IK401 Total energi |C| =320.001-OE502;;;;;;;;;19
OBJECT_ANALOG_INPUT:45;2128101;115437_3200_001_00_OEB02_MV2;0;45;|A| Energimåler produsert -IK401 Avgitt effekt |C| =320.001-OE502;;;;;;;;;48
